DestinationID;Name;CityProvince;Description;Rate ;Image;KeyMain;EntranceFee;AccommodationCost;TotalTourCost;TourPricePerPerson
64;Vu?n qu?c gia Xuân Son;Phú Th?;"Là m?t 00000ong nh?ng 000hu b?o t?n thiên nhiên l?n nh?t mi?n B?c, n?i b?t v?i h? sinh thái r?ng nhi?t d?i và các loài d?ng, th?c v?t phong phú";46/5;https://tse2mmbingnet/th?id=OIPP0f3XiQ000lTZTeh11_svtbwHaFt&pid=Api&P=0&h=220;"""r?ng"" , ""tham quan"" , ""ch?p ?nh "" ";50000–200000;300000–800000;200000–600000;500000–1500000
65;Su?i nu?c nóng Thanh Th?y;Phú Th?;Là 000hu v?c có các d?ch v? ngh? du?ng và 00000? li?u hi?n d?i;45/5;https://tuongtaccongdongs3amazonawscom/a4c1ca5a-cbd3-4f89-a276-0a70527ffa7a/79554a07-25ed-475e-b814-d62ae7bd06eajpg;"""su?i"" , ""ch?p ?nh "" ,"" vui choi "",""nghi du?ng""";Mi?n phí;300000–800000;200000–500000;500000–200000
66;Gành Ðá Ðia;Phú Yên;"M?t 000? quan thiên nhiên d?c dáo, Gành Ðá Ðia n?i b?t v?i nh?ng c?t dá bazan x?p ch?ng lên nhau nhu nh?ng chi?c dia";47/5;https://tse4mmbingnet/th?id=OIPwBFmyTIu6USelB000HI5SOBQHaE7&pid=Api&P=0&h=220;"""bi?n"" , ""vui choi"" , ""ch?p ?nh""  ,""tham quan """;Mi?n phí;300000–800000;300000–800000;100000–300000
67;Hòn Y?n;Phú Yên;"Là m?t hòn d?o nh? v?i c?nh quan hoang so, n?i b?t v?i nh?ng r?n san hô tuy?t d?p";46/5;https://tse2mmbingnet/th?id=OIP5r-1v-qQ000q4A7RZF8ZALHgHaE7&pid=Api&P=0&h=220;"""tham quan "" , ""ch?p ?nh "" , ""vui choi """;20000–50000;300000–800000;200000–500000;100000–300000
68;H?i dang Ð?i Lãnh;Phú Yên;"Là di?m c?c Ðông c?a Vi?t Nam, noi dón ánh bình minh d?u tiên 00000ên d?t li?n";45/5;https://tse1mmbingnet/th?id=OIPQ7000I4toZEEYCxS-pM3yRfgHaDX&pid=Api&P=0&h=220;"""bi?n "", ""tham quan"", ""ch?p ?nh "" ";Mi?n phí;300000–800000;300000–800000;100000–300000
69;Su?i nu?c nóng 00000iêm Ð?c;Phú Yên;Là m?t di?m d?n thú v? d? thu giãn và ngâm mình 00000ong làn nu?c 000hoáng ?m áp;46/5;https://00000ipmapvn/wp-content/uploads/2021/07/suoi-nuoc-000hoang-00000iem-duc-1626245826513jpg;"""su?i "" , ""tham quan "" , ""nghi du?ng "" , ""ch?p ?nh """;Mi?n phí;300000–800000;200000–500000;500000–1500000
70;Tháp Nh?n;Phú Yên;"Tháp Nh?n n?m 00000ên núi Nh?n ? thành ph? Tuy Hòa, là m?t công 00000ình 000i?n 00000úc Cham c? 000ính và linh thiêng";44/5;https://tse3mmbingnet/th?id=OIPj7Y3zi_M9U91O000Wt3Da8zQHaJQ&pid=Api&P=0&h=220;"""tháp "" , ""tham quan "" , ""ch?p ?nh "" , ""di tích """;20000–80000;300000–800000;200000–600000;500000–1500000
71;Ð?ng Phong Nha;Qu?ng Bình;"Phong Nha - 000? Bàng, du?c UNESCO công nh?n là Di s?n Thiên nhiên Th? gi?i";48/5;https://tse4mmbingnet/th?id=OIPJd000fzuou2000znDo0009wau7EQHaD8&pid=Api&P=0&h=220;"""d?ng"" , ""tham quan"" , ""thám hi?m "" , ""ch?p ?nh""";50000–200000;300000–800000;200000–600000;1500000–400000
72;Bãi Ðá Nh?y;Qu?ng Bình;Là noi n?i b?t v?i nh?ng 000h?i dá có hình thù d?c dáo bên b? bi?n;44/5;https://cdn3ivivucom/2023/04/bai-da-nhay-ivivu-1jpg;"""bi?n "", ""tham quan"", ""ch?p ?nh "" ";Mi?n phí;300000–800000;300000–800000;100000–300000
73;Ð?n Thánh M?u Li?u H?nh;Qu?ng Bình;Là noi linh thiêng th? v? thánh 00000ong tín ngu?ng dân gian Vi?t Nam;43/5;https://tse2mmbingnet/th?id=OIPlCVt000vtMPFPPCOoehv000PqgHaFj&pid=Api&P=0&h=220;"""d?n "" ,"" tham quan "" , ""ch?p ?nh "" , ""l?ch s? """;20000–80000;300000–800000;100000–300000;500000–1500000
74;Nhà luu ni?m Ð?i tu?ng Võ Nguyên Giáp;Qu?ng Bình;Là noi luu gi? nh?ng 000? v?t g?n bó v?i tu?i tho c?a Ð?i tu?ng Võ Nguyên Giáp;45/5;https://tse4mmbingnet/th?id=OIPPC00093VVT5QVj78DW3MA54AHaE8&pid=Api&P=0&h=220;"""l?ch s? "" , ""tham quan "" , ""di tích"" , ""van hóa "" ";20000–80000;300000–800000;100000–300000;500000–1500000
75;Sông Chày ;Qu?ng Bình;"Là di?m d?n lý tu?ng cho nh?ng ngu?i yêu thích phiêu luu, Sông Chày 000?t h?p gi?a v? d?p sông nu?c và hang d?ng";44/5;https://tse1mmbingnet/th?id=OIP5-sP9bg-nnIa5GiTqFgWXQHaE000&pid=Api&P=0&h=220;"""tham quan "" , ""ch?p ?nh "" , "" 000hám phá """;Mi?n phí;300000–800000;200000–600000;500000–1500000
76;Ph? c? H?i An;Qu?ng Nam;"Nh?ng ngôi nhà c? 000ính và có 000i?n 00000úc d?c dáo nhu: nh?ng ngôi nhà l?p ng?i dá, nhung b?c tu?ng vàng mang l?i v? d?p
yên bình Ð?t bi?t b?n có th? thu dãn d?o bu?c v?i nh?ng du?ng nh? h?p quanh sông Hoài ";47/5;http://surlli/tocerf;"c? 000ính, ng?i dá, tu?ng vàng, du?ng nh? h?p, sông Hoài";Mi?n phí;1500000–500000;200000–500000;500000–200000
77;Bãi bi?n An Bàng;Qu?ng Nam;"S? h?u v? d?p yên bình, hoang so v?i nh?ng bãi các vàng, bi?n xanh, 000hí h?u vô cùng mát m? và 00000ong lành";40/5;http://surlli/hdwlva;"bi?n, cát vàng, mát m?, yên bình, hoang so";Mi?n phí;300000–800000;300000–800000;100000–300000
78;Tháp Chiên Ðàn;Qu?ng Nam;"Hi?u hon v? van hóa Champa, s? h?u m?t nhà 00000ung bày nhung tác ph?m diêu 000h?c tiêu bi?u, vô vàn nh?ng món d? quý hi?m";35/5;http://surlli/sdyna000;"Champa, diêu 000h?c, quý hi?m";20000–80000;300000–800000;200000–500000;500000–1500000
79;Ð?nh Qu?;Qu?ng Nam;"V?i d? cao 1400000m, du?c coi là ng?n núi d?p nh?t c?a 00000u?ng Son hùng vi, b?n có th? d?m chìm vào 000hông gian c?nh s?t
thiên nhiên tuoi d?p B?n nhu l?c vào ch?n b?ng lai tiên c?nh, yên bình và lãng m?n vô cùng Ð?t bi?t d?c d? lên du?c Ð?nh Qu?, b?n s? l?n lu?t s? h?u nh?ng b?c 00000anh d?p t?i c?ng 00000?i Az?t, thác Ra-ai hay c?ng d?ng Co Tu";40/5;http://surlli/ympldh;"núi, thiên nhiên, hùng vi, tiên c?nh, yên bình, 00000u?ng Son,Az?t, Ra-ai, Co Tu, lãng m?n";Mi?n phí;300000–800000;200000–600000;500000–200000
80;Thánh Ð?a M? Son;Qu?ng Nam;"M?t thung lung có du?ng 000ính 2000m, Noi dây bao quanh là núi d?i, vô cùng ?n mình Ð?a di?m này t?ng là noi t? ch?c cúng t? 
vuong 00000i?u Champa 000hám quá nhi?u di s?n quý báu 000hi d?n n?i dây";45/5;http://surlli/qntmjh;"thung lung,  2000m, núi d?i, ?n mình, cúng t?, Champa, di s?n";Mi?n phí;300000–800000;200000–600000;500000–200000
81;Núi Thiên ?n;Qu?ng Ngãi;"Là m?t ng?n núi t? lâu dã r?t n?i ti?ng v?i 000hung c?nh hùng vi và mang l?i m?t giá 00000? l?ch s? vô cùng l?n lao, v?i v? d?p tho
m?ng và d?u dàng mà nó mang l?i là di?m d?c bi?t hu hút 000hách du l?ch hàng nam";40/5;http://surlli/xvbmjs;"núi, lâu d?i, hùng vi, l?ch s?, tho m?ng, di?u dàng";Mi?n phí;300000–800000;200000–600000;500000–1500000
82;Bãi bi?n M? 000hê;Qu?ng Ngãi;"M?t 00000ong nh?ng bãi bi?n quy?n ru nh?t hành tinh, noi dây có nhi?u 000hách s?n view bi?n d?p m?t phù h?p d? t?n hu?ng 000ì ngh?";45/5;http://surlli/exhizd;"bi?n, quy?n ru, 000ì ngh?, 000hách s?n, 00000?ng phao";Mi?n phí;300000–800000;300000–800000;100000–300000
83;Ð?ng mu?i Sa Hu?nh;Qu?ng Ngãi;"V?a mu?i quan 00000?ng nh?t mi?n 00000ung thân yêu c?a chúng ta, nh?ng bãi mu?i 00000?ng phao, d?n noi dây b?n s? du?c 00000ãi nghi?m các ho?t d?ng h?ng ngày
c?a bà con noi dây, h?a h?n s? mang l?i cho b?n nh?ng 00000ãi nghi?m r?t 000hác so v?i các ho?t d?ng du l?ch nhu lên r?ng hay xu?ng bi?n";40/5;http://surlli/coczhv;"mu?i, ho?t d?ng, mi?n 00000ung, 00000ãi nghi?m";Mi?n phí;300000–800000;300000–800000;100000–300000
84;Thác 00000?ng;Qu?ng Ngãi;"000hùng c?nh ? dây ?n tu?ng v?i r?ng núi hoang so, 00000ong lành, dòng thác d? xu?ng gi?a 000hung c?nh bao quanh là bi?t bao cây c?i sông su?i tung b?t 00000?ng xóa";40/5;http://surlli/vifezm;"r?ng núi, hoang so, thác, cây c?i, sông";Mi?n phí;300000–800000;200000–600000;500000–200000
85;Ðèo Vi O L?c;Qu?ng Ngãi;"N?m cao hon 1300m so v?i m?c nu?c bi?n, s? quanh co u?n lu?n c?a các cung du?ng cùng v?i 000hông 000hí tho m?ng luôn mang d?n nhung v? d?p tuy?t m? cùng hàng c? xanh tuoi m?c hai bên du?ng 000hi du 000hách di lên dèo là nhung nét ?n tu?ng nh?t, thú v? nh?t";40/5;http://surlli/izldds;"dèo, tho m?ng, quanh co, u?n lu?n, cung du?ng, 1300m";Mi?n phí;300000–800000;300000–800000;100000–300000
86;V?nh H? Long;Qu?ng Ninh;"Là m?t 00000ong nh?ng di s?n thiên nhiên th? gi?i du?c UNESCO công nh?n V?i di?n tích 1553000m2, g?n 2000 hòn d?o l?n nh?, 
v?nh H? Long du?c thiên nhiên uu ái có h? th?ng hang d?ng và d?o dá v?a da d?ng l?i tuy?t d?p";48/5;http://surlli/oade000i;"UNESCO, d?o, hang d?ng, d?o dá";20000–50000;1500000–500000;200000–500000;300000–700000
87;Bi?n Bãi Cháy;Qu?ng Ninh;"Bãi Cháy luôn thu hút r?t nhi?u du 000hách d?n tham quan 00000?i nghi?m và t?m bi?n Bãi bi?n cùng dã có thêm nh?ng ho?t d?ng th? thao 00000ên bi?n nhu cano, dù bay hay nhà phao d? du 000hách có th? t?n hu?ng nh?ng d?ch v? cao c?p hon ";39/5;http://surlli/saniob;"Bãi bi?n, t?m bi?n, dù bay, nhà phao";Mi?n phí;300000–800000;300000–800000;100000–300000
88;Công viên H? Long;Qu?ng Ninh;"Du l?ch H? Long thì ch?c ch?n 000hông nên b? qua Sun World Halong Par000 - 000hu ph?c h?p gi?i 00000í n?i ti?ng dành cho m?i l?a tu?i N?u b?n dã t?ng d?n VinWonders thì công viên H? Long cung là m?t thiên du?ng tuong t? nhu v?y, nhung s? náo nhi?t hon nhi?u nhé ";44/5;http://surlli/000dadyl;"công viên, náo nhi?t, gi?i 00000í";300000–800000;1500000–500000;100000–300000;200000–500000
89;Làng chài C?a V?n;Qu?ng Ninh;"000hông ch? du?c t?n hu?ng 000hông gian yên tinh, thanh bình noi dây, du 000hách còn có thêm nh?ng hi?u bi?t v? d?i s?ng van hóa, thu?ng nh?t c?a các ngu dân Ngu dân ? dây h?t s?c thân thi?n và m?n 000hách Hành 000hách có th? chèo thuy?n thúng, c?t cá, câu m?c… d? hi?u hon cu?c s?ng dân chài";46/5;http://surlli/mxcags;"yên tinh, thanh bình, d?i s?ng, van hóa, ngu dân, thân thi?n, m?n 000hách, chèo thuy?n, c?t cá, câu m?c";Mi?n phí;300000–800000;200000–500000;500000–1500000
90;Ð?ng Thiên Cung;Quang Ninh;"V?i c?u 00000úc nhi?u t?ng, nhi?u l?p ph?c t?p, các 000h?i nhu dá ? dây có nhi?u hình dáng 000? l? Hang d?ng này dã du?c d?u tu
 h? th?ng chi?u sáng d?y d? Hình ?nh chim muông, hoa lá, hình ?nh sinh ho?t d?i thu?ng c?a con ngu?i du?c ch?m 000h?c bên 00000ong d?ng Nhi?u d?u tích 000h?o c? dã du?c tìm th?y ch?ng minh cho nh?ng giá 00000? l?ch s? quan 00000?ng qua các th?i 000?";44/5;http://surlli/pzwmq000;"nhu dá, ch?m 000h?c, d?u tích, 000h?o c?, l?ch s?";20000–50000;300000–800000;200000–600000;500000–1500000
91;Nghia 00000ang Li?t si Qu?c gia 00000u?ng Son;Qu?ng 00000?;"Ð?a di?m ghi d?u ?n v? nh?ng m?t mát, minh ch?ng cho nh?ng gì tàn b?o nh?t c?a gi?c ngo?i xâm Noi này dã di vào l?ch s?, bi?u tu?ng c?a s? bi 00000áng và lòng anh dung c?a nh?ng con ngu?i yêu nu?c, d?t s? d?c l?p và v?n m?nh dân t?c lên hàng d?u";48/5;http://surlli/mebyuu;"ghi d?u, m?t mác, minh ch?ng, tàn b?o, l?ch s?, anh dung, 
yêu nu?c, d?c l?p, v?n m?nh";20000–50000;300000–800000;200000–500000;500000–1500000
92;Ð?a d?o V?nh M?c;Qu?ng 00000?;"Công 00000ình này ? sâu lòng d?t, du?c ngu?i dân dào 00000ong 000háng chi?n ch?ng M? Ð?a d?o g?m có nhi?u 000hu v?c nhu 00000u?ng h?c, 000ho h?u c?n, b?nh vi?n, 000hu quân s? và 000hu gia dình ";46/5;http://surlli/ogxfcj;"sâu, lòng d?t, 000háng chi?n";20000–50000;300000–800000;300000–800000;100000–300000
93;Bãi bi?n C?a Tùng;Qu?ng 00000?;" Mùa hè d?n bãi bi?n này, b?n s? th?y du?c nét d?p bình yên c?a bi?n xanh, cát 00000?ng 000hung c?nh tinh l?ng vào bu?i chi?u hoàng hôn 000hi?n bao 00000ái tim b? mê ho?c";43/5;http://surlli/bxuyel;"Bãi bi?n, bi?n xanh, cát 00000?ng, tinh l?ng, ";Mi?n phí;300000–800000;300000–800000;100000–300000
94;Ð?i hoa Mi?n Viên Th?o;Qu?ng 00000?;"N?i b?t v?i cánh d?ng hoa r?c r? và n? r? quanh nam Th?i ti?t ? dây c?c 000? mát m? nên vi?c 00000?ng hoa 000há thu?n l?i Ð?a di?m du l?ch Qu?ng 00000? có d? hoa h?ng, cúc h?a mi, hoa c?i vàng Ð?c bi?t, n?u b?n yêu thích hoa tam giác m?ch thì 000hông th? b? hoa Mi?n Viên Th?o ";43/5;http://surlli/cidfnv;"Cánh d?ng hoa, thích hoa, mát m?";Mi?n phí;300000–800000;100000–300000;500000–200000
95;Ð?nh Cu Vo;Qu?ng 00000?;"R?t thích h?p cho nhóm b?n di phu?t C?c 000ì thu hút các b?n 00000? d?n d? san mây Vào bu?i sáng s?m, d?ng ? ng?n núi, m? ra 00000u?c m?t b?n là nh?ng t?ng mây 00000?ng 000ho?nh 000h?c ánh n?ng m?t 00000?i r?i xu?ng th?c s? d?p bi?t bao";;http://surlli/yoyuch;"Ð?i, san mây, phu?t, núi, mây 00000?ng";Mi?n phí;300000–800000;200000–600000;500000–200000
96;Ch? n?i Ngã Nam;Sóc 00000ang;"bày bán d? các lo?i m?t hàng t? th?c ph?m cho d?n nhu y?u ph?m Ð?c bi?t hon h?t, 000hông th? 000hông nh?c d?n các ghe/ xu?ng d?y ?p các lo?i 00000ái cây nhi?t 
d?i d?c 00000ung tùy mùa";40/5;http://surlli/sgc000j000;"th?c ph?m, m?t hàng, ghe, xu?ng, mùa";Mi?n phí;300000–800000;100000–300000;500000–200000
97;Chùa Doi;Sóc 00000ang;"000i?n 00000úc c?a ngôi chùa này du?c xem là tiêu bi?u c?a Ph?t giáo Nam tông 000hmer, chùa du?c xây d?ng vào th? 000? 16 nhung cho d?n nay toàn b? công 00000ình còn gi? du?c tình 00000?ng t?t và v?n là noi sinh ho?t tôn giáo mang ý nghia quan 00000?ng c?a ngu?i dân 00000ong vùng Ði?u Ð?c bi?t 000hi di dây là du 000hách s? th?y hàng nghìn con doi 000há l?n 00000eo mình 00000ên cây 00000ong 000huôn viên chùa gi?ng nhu chúng dã quen thu?c v?i noi này v?y";45/5;http://surlli/t000caxe;"chùa, Ph?t giáo, con doi";20000–80000;300000–800000;100000–300000;500000–200000
98;Vu?n cò Tân Long;Sóc 00000ang;V?i quang c?nh thiên nhiên hoang so và h? sinh thái d?ng th?c v?t da d?ng Ð?c bi?t là các gi?ng loài cò quý hi?m;42/5;http://surlli/acmlvm;"hoang so, cò, quý hi?m";20000–50000;300000–800000;200000–600000;500000–200000
99;Bi?n H? B?;Sóc 00000ang;"000hu v?c này du?c hình thành do s? bãi b?i và quá 00000ình xâm l?n c?a nu?c bi?n, làm nên m?t vùng h? 00000ung r?ng l?n Bãi bi?n
 h? này còn du?c thiên nhiên uu ái b?ng m?t b? cát 00000?ng dài hàng cây s? Do chua dua vào 000hai thác du l?ch m?nh, bãi bi?n v?n gi? du?c nét hoang so, t? nhiên v?n có mang l?i s? yên bình, t? do cho du 000hách";43/5;http://surlli/urzgei;"xâm l?n, h? 00000ung, cát 00000?ng, hoang so, bình yên";Mi?n phí;300000–800000;300000–800000;100000–300000
100;Chùa Som Rong;Sóc 00000ang;"Là m?t noi d?c bi?t quan 00000?ng 000hông ch? do tín ngu?ng tôn giáo, mà còn do ngôi chùa này có m?t thu vi?n l?n v?i hon 1500 d?u sách, ph?c v? cho các b?n thi?u nhi, bà con t?i noi này Ngôi b?o tháp du?c ph? m?t màu xám huy?n bí thay vì màu vàng thu?ng g?p; Pho tu?ng ph?t n?m dài hon 63 mét, cao hon m?t d?t 000ho?ng 28 mét, c?ng thêm chi?u cao 22 mét 000hi?n cho pho tu?ng vô cùng uy nghi; chùa Som Rong thu?ng du?c nhi?u 000hách du l?ch l?a ch?n ghé tham";45/5;http://surlli/btdhtl;"tín ngu?ng, tôn giáo, b?o tháp, tu?ng, ";20000–80000;300000–800000;100000–300000;500000–200000
101;M?c Châu;Son La;"v?i d?c s?n là nh?ng mùa hoa ban, hoa anh dào, hoa m?n, hoa c?i vàng… 00000àn ng?p huong s?c M?c Châu cung là cái tên 000inh di?n nh?t 000hi nh?c d?n du l?ch vùng Tây B?c v?i cung du?ng phu?t d?p nhu 00000anh v?";45/5;http://surlli/dzxuss;"hoa dào, hoa m?n, du?ng phu?t";20000–50000;500000–200000;200000–500000;500000–200000
102;Ngu d?ng b?n Ông;Son La;"Ðây là h? th?ng g?m 5 hang d?ng du?c ngu?i dân d?a phuong phát hi?n l?n d?u tiên vào nam 2006 Vì t?i dây chua có nhi?u d?ch v? du l?ch nên nh?ng hang d?ng v?n gi? du?c v? d?p hoang so, huy?n bí Bên 00000ong hang du?c di?m xuy?n b?i nh?ng 000h?i dá nhu th?ch 000h?ng l? v?i hình thù d?c dáo";45/5;http://surlli/pdnwji;"d?ng, hoang so, huy?n bí, dá nhu h?ch";20000–50000;300000–800000;200000–600000;500000–200000
103;R?ng thông b?n Áng ;Son La;"000hu r?ng có t?ng di?n tích lên d?n 43ha v?i b?u 000hông 000hí 00000ong lành và 000hung c?nh thông xanh 00000?p 00000ùng 00000ông r?t mát m?t 
B?n có th? 00000?i nghi?m c?m 00000?i qua dêm t?i r?ng thông b?n Áng d? th?a s?c hít th? 000hí 00000?i se l?nh và dón mình bình";43/5;http://surlli/piwwef;"r?ng, thông, c?m 00000?i, b?n Áng";20000–50000;300000–800000;200000–600000;500000–200000
104;Thác D?i Y?m;Son La;"Thác cao hon 100m, chia thành 2 t?ng chính 00000ong dó t?ng th? nh?t có t?ng c?ng 9 b?c, t?ng th? hai có 5 b?c Vào d? t? tháng 4 d?n tháng 10 hàng nam, 000hi lu?ng nu?c d? v? nhi?u s? t?o nên nh?ng dòng ch?y m?nh m?, tung b?t 00000?ng xóa r?t d?p m?t";46/5;http://surlli/uvrsec;"dòng ch?y, thác";Mi?n phí;300000–800000;200000–600000;500000–200000
105;Ð?nh Tà Xua;Son La;"T? 00000ên d?nh, b?n có th? phóng t?m m?t chiêm ngu?ng 000hung c?nh hùng vi xung quanh v?i nh?ng d?i ru?ng b?c thang xanh mu?t, th?p thoáng xa xa là mái lá 000hói b?p, tay có th? ch?m d?n mây 00000?i";48/5;http://surlli/hpreeq;"d?nh, ru?ng b?c thang, mây 00000?i";20000–50000;300000–800000;200000–600000;500000–200000
106;Núi Bà Ðen;Tây Ninh;"núi Bà Ðen còn du?c bi?t d?n nhu “nóc nhà” c?a Nam B? v?i d?nh cao nh?t là 986 m, di?n tích 24 000m², N?u yêu thích v? d?p bao la c?a d?t 00000?i, mu?n chiêm ngu?ng c?nh d?p t? 00000ên cao thì có th? l?a ch?n di chuy?n b?ng cáp 00000eo t? chân núi lên d?nh núi";45/5;http://surlli/zaoqyj;"nóc nhà, cáp 00000eo, núi";Mi?n phí;300000–800000;200000–600000;500000–200000
107;Tòa thánh Tây Ninh;Tây Ninh;"Tòa thánh chính là d?a di?m du l?ch Tây Ninh dành cho nh?ng dân phu?t mu?n tìm hi?u v? nét van hóa và nét 000i?n 00000úc tiêu bi?u t?i noi dây, Phong cách thi?t 000? c?a công 00000ình vô cùng d?c dáo, các chi ti?t du?c 00000?m 00000? hoa van 000? công và mang nhi?u nét bi?u tu?ng cho van hóa m?nh d?t này";47/5;http://surlli/wqpvnz;"tòa thánh, 000i?n 00000úc, 00000?m 00000?, hoa van";20000–50000;300000–800000;200000–500000;500000–1500000
108;H? D?u Ti?ng;Tây Ninh;"H? D?u Ti?ng du?c xây d?ng v?i m?c dích cung c?p nu?c cho sinh ho?t, ngoài ra noi dây còn là di?m du l?ch vô cùng hot v?i phong c?nh êm d?m, tho m?ng t?a nhu 00000ong chuy?n c? tích B?n s? du?c th? h?n vào 000hung c?nh thiên nhiên tuy?t d?p v?i non nu?c h?u tình, mây 00000?i hi?n hòa, s?c xanh b?t ngàn c?a màu nu?c và màu 00000?i Nh?ng gh?nh dá nh?p nhô quanh ?c d?o 00000ên h? chính là di?m d?ng chân và cung là bac000ground tuy?t d?p cho b?n d? s?ng ?o";40/5;http://surlli/lftayu;"thiên nhiên, cung c?p nu?c, gh?nh dá, ?c d?o, ";Mi?n phí;300000–800000;100000–300000;100000–300000
109;Tháp Chóp M?t ;Tây Ninh;"Tòa tháp này có 000i?n 00000úc r?t d?c bi?t dó chính là du?c xây d?ng nh? d?n lên phía 00000ên nhung l?i 000hông h? có d?nh chóp Ngu?i Óc Eo r?t 000héo léo và thông minh 000hi xây d?ng công 00000ình, h? 000hông h? chút xi mang nào làm v?t li?u 000?t dính 000hi d?n dây tham quan, du 000hách có th? tho?i mái chec000 in t?i m?t 000hông gian vô cùng yên bình và mang nét hoài c? c?a d?a di?m du l?ch Tây Ninh này ";40/5;http://surlli/wnvrio;"tháp, nh? d?n, hoài c?, ";20000–80000;300000–800000;200000–500000;500000–1500000
110;Vu?n qu?c gia Lò Gò -  Xa Mát;Tây Ninh;"t?i dây, du 000hách có th? ng?m nhìn các loài d?ng, th?c v?t quý hi?m mà b?n 000hó có co h?i du?c nhìn ng?m ngoài d?i Có r?t nhi?u nh?ng loài d?ng v?t quý hi?m du?c li?t 000ê vào sách d? Ngoài ra, du 000hách cung có th? 00000?i nghi?m r?t nhi?u nh?ng ho?t d?ng nhu d?p xe xuyên r?ng, 000hám phá r?ng b?ng du?ng sông,…";40/5;http://surlli/mobft000;"dd?ng v?t, th?c v?t, quý hi?m, xuyên r?ng";50000–200000;300000–800000;200000–600000;500000–200000
111;Chùa 000eo;Thái Bình;Chùa 000eo ? Thái Bình du?c x?p h?ng là ngôi chùa c? d?p nh?t t?i Vi?t Nam Chùa du?c xây d?ng theo 000i?n 00000úc c? 000ín t? th?i nhà Lê Chính vì l? dó mà chùa 000eo du?c xem là m?t 00000ong nh?ng d?a di?m chec000-in Thái Bình mà b?n nh?t d?nh ph?i d?n tham quan;45/5;http://surlli/ivqjww;"chùa, c? 000ín, ";20000–80000;300000–800000;100000–300000;500000–1500000
112;Bãi bi?n Ð?ng Châu;Thái Bình;"Còn gi? nguyên v? d?p hoang so thì hãy d?n v?i bãi bi?n Ð?ng Châu V?i b? cát 00000?i dài 5000m ôm l?y m?t bi?n mênh mông, xanh mu?t dã v? nên m?t d?a di?m du l?ch d?c dáo t?i B?c 00000ung B? h?ng chi?c chòi canh nh?p nhô 00000ên m?t nu?c t?o nên c?nh s?t th?t là h?u tình";35/5;http://surlli/sbizem;"hoang so, cò, quý hi?m";Mi?n phí;300000–800000;300000–800000;100000–300000
113;Bãi bi?n C?n Ðen;Thái Bình;"hình ?nh d?p nh?t c?a bi?n và s? hoang so c?a 000hu r?ng nguyên sinh Ð?c bi?t, vào th?i di?m bình minh và hoàng hôn thì v? d?p noi dây l?i 00000? nên quy?n ru d?n 000? l?, lúc này cung là 000ho?nh 000h?c du?c nhi?u ngu?i san dón nh?t V?i v? d?p 00000ong lành t? 000hông 000hí cho d?n m?t nu?c bi?n 00000ong xanh cùng bãi cát 00000?ng thì dây dích th? là m?t bac000ground c?c x?n";40/5;http://surlli/yjhoh000;"bi?n, hoang so, cát 00000?ng, quy?n ru";Mi?n phí;300000–800000;300000–800000;100000–300000
114;Nhà th? Bác 00000?ch;Thái Bình;"Ðây chính là m?t 00000ong nh?ng nhà th? l?n nh?t Vi?t Nam hi?n nay v?i hoa van 00000ang 00000í công phu theo l?i 000i?n 00000úc Roman 
V?i v? d?p này ch?c ch?n nhà th? Bác 00000?ch là m?t d?a di?m chec000-in Thái Bình d?c dáo dành cho b?n";45/5;http://surlli/vgxrod;"nhà th?, l?n nh?t, Roman";20000–50000;300000–800000;200000–500000;500000–200000
115;Làng d?t chi?u H?i;Thái Bình;"N?i ti?ng v?i nh?ng làng ngh? 00000uy?n th?ng g?n hàng 00000am nam tu?i  b?n còn du?c hi?u thêm v? cu?c s?ng gi?n d? c?a ngu?i dân 00000ong làng Và b?n s? du?c ngu?i dân gi?i thi?u v? quy 00000ình d? t?o ra du?c m?t m?t chi?c chi?u 00000uy?n th?ng, t? thu ho?ch ch? bi?n cói cho t?i 000hâu thành ph?m Nh?ng 00000?i nghi?m này s? là m?t 000? ni?m 000hó quên cho chuy?n di c?a b?n";40/5;http://surlli/hglflh;"00000uy?n th?ng, chi?u ";Mi?n phí;300000–800000;100000–300000;500000–200000
116;H? Núi C?c;Thái Nguyên;"Du 000hách có th? 00000?i nghi?m ng?i thuy?n thúng, 000hám phá d?ng Th? gi?i C? tích và Âm ph?, d?ng Ba Cây Thông, tham quan qu?n th? Thuy?t Nhân Qu? - Chùa Thiêng Thác Vàng, ngôi chùa n?m 00000ong lòng Ph?t l?n nh?t mi?n B?c du?c ghi nh?n 000? l?c Guniess";45/5;http://surlli/uizspq;"thuy?n thúng, Guniess , chùa, tham quan";20000–80000;300000–800000;200000–600000;500000–1500000
117;Ð?i chè Tân Cuong;Thái Nguyên;"M?t 00000ong nh?ng d?a di?m du l?ch Thái Nguyên n?i ti?ng ch?c ch?n 000hông th? quên 000? d?n dó chính là d?i chè Tân Cuong Ðây là m?t d?a di?m thu hút s? quan tâm t? dông d?o 000hách du l?ch nh? vào c?nh quan thiên nhiên tuy?t d?p, du?c bao ph? b?i m?t s?c xanh mát l?nh B?t c? ai d?n d?i chè Tân Cuong du l?ch cung d?u có th? c?m nh?n du?c s? tuoi m?i t? sâu 00000ong tâm h?n, giúp b?n c?m th?y d? ch?u hon bao gi? h?t";45/5;http://surlli/hdpzzj;"00000è, xanh, mát l?nh, d? ch?u";Mi?n phí;300000–800000;100000–300000;100000–300000
